'BOUT	B AW T
TALENTED	T AE L AH N T AH D
TALENTED(2)	T AE L AH N T IH D
TALES	T EY L Z
TALK	T AO K
TALKED	T AO K T
TALKING	T AO K IH NG
TALKS	T AO K S
TALL	T AO L
TAMES	T EY M Z
TAP	T AE P
TASK	T AE S K
TASTE	T EY S T
TASTED	T EY S T AH D
TASTED(2)	T EY S T IH D
TAX	T AE K S
TAY	T EY
TEA	T IY
TEACHER	T IY CH ER
TEAM	T IY M
TEARING	T EH R IH NG
TEARING(2)	T IH R IH NG
TEARS	T EH R Z
TEARS(2)	T IH R Z
TECHNOLOGIES	T EH K N AA L AH JH IY Z
TECHNOLOGY	T EH K N AA L AH JH IY
TEED	T IY D
TEETH	T IY TH
TELEMATIC	T EH L AH M AE T IH K
TELEVISION	T EH L AH V IH ZH AH N
TELL	T EH L
TELLING	T EH L IH NG
TEMPER'S	T EH M P ER Z
TEMPO	T EH M P OW
TEMPTATION	T EH M T EY SH AH N
TEMPTING	T EH M P T IH NG
TEN	T EH N
TERM	T ER M
TERNS	T ER N Z
TERRIBLE	T EH R AH B AH L
TERROR	T EH R ER
TERRORDOME	T EH R ER D OW M
TEST	T EH S T
TESTING	T EH S T IH NG
TETHER	T EH DH ER
TEXTBOOK	T EH K S T B UH K
THAN	DH AE N
THAN(2)	DH AH N
THANK	TH AE NG K
THANKFUL	TH AE NG K F AH L
THANKS	TH AE NG K S
THAT	DH AE T
THAT(2)	DH AH T
THAT'LL	DH AE T AH L
THAT'S	DH AE T S
THE	DH AH
THE(2)	DH IY
THEATRIC	TH IY T R IH K
THEIR	DH EH R
THEM	DH EH M
THEM(2)	DH AH M
THEMSELVES	DH EH M S EH L V Z
THEMSELVES(2)	DH AH M S EH L V Z
THEN	DH EH N
THEORIES	TH IH R IY Z
THEORIES(2)	TH IY ER IY Z
THERE	DH EH R
THERE'RE	DH EH R ER
THERE'S	DH EH R Z
THESE	DH IY Z
THEY	DH EY
THEY'D	DH EY D
THEY'LL	DH EH L
THEY'RE	DH EH R
THEY'VE	DH EY V
THIEF	TH IY F
THIEFS	TH IY F S
THIN	TH IH N
THING	TH IH NG
THINGS	TH IH NG Z
THINK	TH IH NG K
THINKING	TH IH NG K IH NG
THINKS	TH IH NG K S
THIRD	TH ER D
THIRST	TH ER S T
THIS	DH IH S
THORNS	TH AO R N Z
THOSE	DH OW Z
THOUGH	DH OW
THOUGHT	TH AO T
THOUGHTS	TH AO T S
THOUSAND	TH AW Z AH N D
THOUSAND(2)	TH AW Z AH N
THREAD	TH R EH D
THREE	TH R IY
THREW	TH R UW
THRIVE	TH R AY V
THRONE	TH R OW N
THROUGH	TH R UW
THROW	TH R OW
THROWER	TH R OW ER
THRUST	TH R AH S T
THUGS	TH AH G Z
THUMBING	TH AH M IH NG
THUNDER	TH AH N D ER
TICK	T IH K
TICKETS	T IH K AH T S
TICKETS(2)	T IH K IH T S
TICKING	T IH K IH NG
TICKLEY	T IH K AH L IY
TIDE	T AY D
TIDE'LL	T AY D L
TIDES	T AY D Z
TIE	T AY
TIGER	T AY G ER
TIGHT	T AY T
TILL	T IH L
TIME	T AY M
TIMES	T AY M Z
TINY	T AY N IY
TIPPING	T IH P IH NG
TIPS	T IH P S
TIRED	T AY ER D
TIRING	T AY R IH NG
TISSUES	T IH S Y UW Z
TISSUES(2)	T IH SH UW Z
TO	T UW
TO(2)	T IH
TO(3)	T AH
TOASTER	T OW S T ER
TODAY	T AH D EY
TODAY(2)	T UW D EY
TODAY'S	T AH D EY Z
TODAY'S(2)	T UW D EY Z
TOE	T OW
TOES	T OW Z
TOGETHER	T AH G EH DH ER
TOIZ	T OY Z
TOLD	T OW L D
TOMORROW	T AH M AA R OW
TOMORROW(2)	T UW M AA R OW
TONGUE	T AH NG
TONGUES	T AH NG Z
TONIGHT	T AH N AY T
TONIGHT(2)	T UW N AY T
TOO	T UW
TOOK	T UH K
TOP	T AA P
TOP(2)	T AO P
TORTURE	T AO R CH ER
TOSS	T AO S
TOUCH	T AH CH
TOUCHED	T AH CH T
TOUCHIES	T AH CH IY Z
TOUR	T UH R
TOWARDS	T AH W AO R D Z
TOWARDS(2)	T AO R D Z
TOWEL	T AW AH L
TOWEL(2)	T AW L
TOWN	T AW N
TRACE	T R EY S
TRACED	T R EY S T
TRACES	T R EY S AH Z
TRACES(2)	T R EY S IH Z
TRACK	T R AE K
TRACKS	T R AE K S
TRADITION	T R AH D IH SH AH N
TRAFFIC	T R AE F IH K
TRAGEDY	T R AE JH AH D IY
TRAIN	T R EY N
TRAINED	T R EY N D
TRANCE	T R AE N S
TRANSMISSION	T R AE N S M IH SH AH N
TRANSMISSION(2)	T R AE N Z M IH SH AH N
TRANSMIT	T R AE N Z M IH T
TRAP	T R AE P
TRAPPED	T R AE P T
TRAUMA	T R AO M AH
TRAVEL	T R AE V AH L
TRAVOLTA	T R AH V OW L T AH
TREACHEROUS	T R EH CH ER AH S
TREAD	T R EH D
TREAT	T R IY T
TREATED	T R IY T AH D
TREATED(2)	T R IY T IH D
TREE	T R IY
TREES	T R IY Z
TRICK	T R IH K
TRICKLE	T R IH K AH L
TRICKY	T R IH K IY
TRIED	T R AY D
TRIES	T R AY Z
TRIPPING	T R IH P IH NG
TRIPS	T R IH P S
TRODE	T R OW D
TROPICAL	T R AA P IH K AH L
TROUBLE	T R AH B AH L
TROUBLES	T R AH B AH L Z
TRUCK	T R AH K
TRUE	T R UW
TRULY	T R UW L IY
TRUST	T R AH S T
TRUSTED	T R AH S T IH D
TRUTH	T R UW TH
TRUTHFUL	T R UW TH F AH L
TRY	T R AY
TRYING	T R AY IH NG
TRYING(2)	T R AY NG
TRYN'A	T R IH N AH
TUMBLING	T AH M B AH L IH NG
TUNES	T UW N Z
TURN	T ER N
TURNED	T ER N D
TURNING	T ER N IH NG
TURNS	T ER N Z
TWELVE	T W EH L V
TWICE	T W AY S
TWINKLE	T W IH NG K AH L
TWISTING	T W IH S T IH NG
TWO	T UW
TYSON	T AY S AH N
UGLY	AH G L IY
UH	AH
UM	AH M
UN	AH N
UN(2)	Y UW EH N
UNCEASING	AH N S IY S IH NG
UNCERTAINTY	AH N S ER T AH N T IY
UNCLE'S	AH NG K AH L Z
UNCYNICAL	AH N S IH N IH K AH L
UNDER	AH N D ER
UNDERSTAND	AH N D ER S T AE N D
UNDERTAKE	AH N D ER T EY K
UNDISTORTED	AH N D IH S T AO R T IH D
UNDONE	AH N D AH N
UNFINISHED	AH N F IH N IH SH T
UNFLINCHING	AH N F L IH N CH IH NG
UNFOLD	AH N F OW L D
UNHAPPY	AH N HH AE P IY
UNHEARD	AH N HH ER D
UNION	Y UW N Y AH N
UNIVERSE	Y UW N AH V ER S
UNJADED	AH N JH EY D IH D
UNKIND	AH N K AY N D
UNMISTAKABLE	AH N M IH S T EY K AH B AH L
UNRAVELING	AH N R AE V AH L IH NG
UNRAVELING(2)	AH N R AE V L IH NG
UNRECOGNIZABLE	AH N R EH K AH G N AY Z AH B AH L
UNSIGNED	AH N S AY N D
UNSURE	AH N SH UH R
UNTIL	AH N T IH L
UNWINDING	AH N W AY N D IH NG
UP	AH P
UPGRADED	AH P G R EY D AH D
UPGRADED(2)	AH P G R EY D IH D
UPON	AH P AA N
UPWARD	AH P W ER D
URGENCE	ER JH AH N S
US	AH S
US(2)	Y UW EH S
USE	Y UW S
USE(2)	Y UW Z
USED	Y UW Z D
USING	Y UW Z IH NG
V	V IY
VADER	V EY D ER
VAIN	V EY N
VALLEY	V AE L IY
VARIOUS	V EH R IY AH S
VEIN	V EY N
VEINS	V EY N Z
VELVET	V EH L V AH T
VERDICT	V ER D IH K T
VERSE	V ER S
VERY	V EH R IY
VIBRATING	V AY B R EY T IH NG
VICTIM	V IH K T IH M
VIDA	V AY D AH
VIEW	V Y UW
VIKINGS	V AY K IH NG Z
VILLAIN	V IH L AH N
VIOLENT	V AY AH L AH N T
VIOLINS	V AY AH L IH N Z
VISCOUS	V IH S K AH S
VISIBLE	V IH Z AH B AH L
VISION	V IH ZH AH N
VISUAL	V IH ZH AH W AH L
VOCATION	V OW K EY SH AH N
VOICE	V OY S
VOICELESS	V OY S L AH S
VOICES	V OY S AH Z
VOICES(2)	V OY S IH Z
VOLTS	V OW L T S
VOW	V AW
WADING	W EY D IH NG
WAIT	W EY T
WAITING	W EY T IH NG
WAKE	W EY K
WALK	W AO K
WALK(2)	W AA K
WALKED	W AO K T
WALKING	W AO K IH NG
WALKS	W AO K S
WALL	W AO L
WALLFLOWERS	W AO L F L AW ER Z
WALLS	W AO L Z
WANDER	W AA N D ER
WANNA	W AA N AH
WANT	W AA N T
WANT(2)	W AO N T
WANTED	W AO N T IH D
WANTING	W AA N T IH NG
WANTING(2)	W AA N IH NG
WANTS	W AA N T S
WANTS(2)	W AO N T S
WAR	W AO R
WARM	W AO R M
WARMTH	W AO R M TH
WARNING	W AO R N IH NG
WARRIORS	W AO R IY ER Z
WARRIORS(2)	W AO R Y ER Z
WARS	W AO R Z
WARY	W EH R IY
WAS	W AA Z
WASH	W AA SH
WASN'T	W AA Z AH N T
WASN'T(2)	W AH Z AH N T
WASTE	W EY S T
WASTED	W EY S T AH D
WASTED(2)	W EY S T IH D
WASTING	W EY S T IH NG
WATCH	W AA CH
WATCH(2)	W AO CH
WATCHED	W AA CH T
WATCHED(2)	W AO CH T
WATER	W AO T ER
WAVES	W EY V Z
WAVING	W EY V IH NG
WAVS	W AA V Z
WAY	W EY
WAYS	W EY Z
WAYWARD	W EY W ER D
WE	W IY
WE'D	W IY D
WE'LL	W IY L
WE'LL(2)	W IH L
WE'RE	W IY R
WE'RE(2)	W IH R
WE'RE(3)	W ER
WE'VE	W IY V
WEAK	W IY K
WEAPONS	W EH P AH N Z
WEAR	W EH R
WEARING	W EH R IH NG
WEATHERED	W EH DH ER D
WEE	W IY
WEEKEND	W IY K EH N D
WEEKEND(2)	W IY K IH N D
WEEP	W IY P
WEEUM	W IY AH M
WELCOME	W EH L K AH M
WELL	W EH L
WELLING	W EH L IH NG
WENT	W EH N T
WERE	W ER
WEREN'T	W ER AH N T
WEREN'T(2)	W ER N T
WESTWARD	W EH S T W ER D
WET	W EH T
WHA	W AA
WHAT	W AH T
WHAT(2)	HH W AH T
WHAT'S	W AH T S
WHAT'S(2)	HH W AH T S
WHATEVER	W AH T EH V ER
WHATEVER(2)	HH W AH T EH V ER
WHEEL	W IY L
WHEEL(2)	HH W IY L
WHEELCHAIR	W IY L CH EH R
WHEELCHAIR(2)	HH W IY L CH EH R
WHEN	W EH N
WHEN(2)	HH W EH N
WHEN(3)	W IH N
WHEN(4)	HH W IH N
WHENEVER	W EH N EH V ER
WHENEVER(2)	HH W EH N EH V ER
WHERE	W EH R
WHERE(2)	HH W EH R
WHERE'RE	W EH R ER
WHICH	W IH CH
WHICH(2)	HH W IH CH
WHILE	W AY L
WHILE(2)	HH W AY L
WHIP	W IH P
WHIP(2)	HH W IH P
WHISKY	W IH S K IY
WHISKY(2)	HH W IH S K IY
WHISPER	W IH S P ER
WHISPER(2)	HH W IH S P ER
WHISPERED	W IH S P ER D
WHISPERED(2)	HH W IH S P ER D
WHISPERING	W IH S P ER IH NG
WHISPERING(2)	HH W IH S P ER IH NG
WHISPERS	W IH S P ER Z
WHISPERS(2)	HH W IH S P ER Z
WHITE	W AY T
WHITE(2)	HH W AY T
WHO	HH UW
WHO'LL	HH UW L
WHO'S	HH UW Z
WHO'VE	HH UW V
WHOLE	HH OW L
WHOO	W UW
WHOSE	HH UW Z
WHY	W AY
WHY(2)	HH W AY
WICKED	W IH K AH D
WICKET	W IH K AH T
WICKET(2)	HH W IH K AH T
WIDOW	W IH D OW
WIELD	W IY L D
WIFE	W AY F
WILD	W AY L D
WILDLIFE	W AY L D L AY F
WILDLY	W AY L D L IY
WILL	W IH L
WILL(2)	W AH L
WILLING	W IH L IH NG
WIN	W IH N
WIND	W AY N D
WIND(2)	W IH N D
WINDOW	W IH N D OW
WINDOWS	W IH N D OW Z
WINDS	W IH N D Z
WINDS(2)	W AY N D Z
WINE	W AY N
WINGS	W IH NG Z
WINK	W IH NG K
WINNER	W IH N ER
WINTER	W IH N T ER
WIRES	W AY ER Z
WIRES(2)	W AY R Z
WISE	W AY Z
WISH	W IH SH
WISHES	W IH SH IH Z
WISHING	W IH SH IH NG
WITCH	W IH CH
WITCHES	W IH CH AH Z
WITCHES(2)	W IH CH IH Z
WITH	W IH DH
WITH(2)	W IH TH
WITHIN	W IH DH IH N
WITHIN(2)	W IH TH IH N
WITHOUT	W IH TH AW T
WITHOUT(2)	W IH DH AW T
WIZEN	W AY Z AH N
WOKE	W OW K
WOMAN	W UH M AH N
WOMEN	W IH M AH N
WON	W AH N
WON(2)	W AA N
WON'T	W OW N T
WONDER	W AH N D ER
WONDERED	W AH N D ER D
WOOD	W UH D
WORD	W ER D
WORDS	W ER D Z
WORE	W AO R
WORK	W ER K
WORKING	W ER K IH NG
WORKS	W ER K S
WORLD	W ER L D
WORLDS	W ER L D Z
WORRIED	W ER IY D
WORRY	W ER IY
WORSHIP	W ER SH AH P
WORSHIP(2)	W ER SH IH P
WORST	W ER S T
WORTH	W ER TH
WOULD	W UH D
WOULDN'T	W UH D AH N T
WOUNDS	W UW N D Z
WOW	W AW
WRAP	R AE P
WRAPPED	R AE P T
WRECKS	R EH K S
WRICKY	R IH K IY
WRITE	R AY T
WRITING	R AY T IH NG
WRONG	R AO NG
WROTE	R OW T
WUHM	W AH M
Y	W AY
Y'ALL	Y AO L
YA	Y AA
YARD	Y AA R D
YAY	Y EY
YEA	Y EY
YEADON	Y EH D AH N
YEAH	Y AE
YEAR	Y IH R
YEARS	Y IH R Z
YELL	Y EH L
YELLING	Y EH L IH NG
YES	Y EH S
YESTERDAY	Y EH S T ER D EY
YESTERDAY(2)	Y EH S T ER D IY
YET	Y EH T
YIELD	Y IY L D
YO	Y OW
YORK	Y AO R K
YOU	Y UW
YOU'D	Y UW D
YOU'D(2)	Y UH D
YOU'LL	Y UW L
YOU'RE	Y UH R
YOU'RE(2)	Y UW R
YOU'VE	Y UW V
YOUNG	Y AH NG
YOUR	Y AO R
YOUR(2)	Y UH R
YOURS	Y UH R Z
YOURS(2)	Y AO R Z
YOURS(3)	Y ER Z
YOURSELF	Y ER S EH L F
YOURSELF(2)	Y UH R S EH L F
YOURSELF(3)	Y AO R S EH L F
YOURSELVES	Y UH R S EH L V Z
YOURSELVES(2)	Y AO R S EH L V Z
YOUTHFUL	Y UW TH F AH L
ZEE	Z IY
ZONE	Z OW N
